ascii,word,letter_frequency
510,hafif,"{'a': 1, 'f': 2, 'h': 1, 'i': 1}"
510,kaide,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'k': 1}"
510,kanca,"{'a': 2, 'c': 1, 'k': 1, 'n': 1}"
510,malca,"{'a': 2, 'c': 1, 'l': 1, 'm': 1}"
510,nacak,"{'a': 2, 'c': 1, 'k': 1, 'n': 1}"
510,nedbe,"{'b': 1, 'd': 1, 'e': 2, 'n': 1}"
511,acemi,"{'a': 1, 'c': 1, 'e': 1, 'i': 1, 'm': 1}"
511,adeta,"{'a': 2, 'd': 1, 'e': 1, 't': 1}"
511,agami,"{'a': 2, 'g': 1, 'i': 1, 'm': 1}"
511,ahali,"{'a': 2, 'h': 1, 'i': 1, 'l': 1}"
511,ahcar,"{'a': 2, 'c': 1, 'h': 1, 'r': 1}"
511,banma,"{'a': 2, 'b': 1, 'm': 1, 'n': 1}"
511,bedik,"{'b': 1, 'd': 1, 'e': 1, 'i': 1, 'k': 1}"
511,belge,"{'b': 1, 'e': 2, 'g': 1, 'l': 1}"
511,cenah,"{'a': 1, 'c': 1, 'e': 1, 'h': 1, 'n': 1}"
511,dalma,"{'a': 2, 'd': 1, 'l': 1, 'm': 1}"
511,damla,"{'a': 2, 'd': 1, 'l': 1, 'm': 1}"
511,dibek,"{'b': 1, 'd': 1, 'e': 1, 'i': 1, 'k': 1}"
511,haham,"{'a': 2, 'h': 2, 'm': 1}"
511,ideal,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'l': 1}"
511,kalfa,"{'a': 2, 'f': 1, 'k': 1, 'l': 1}"
511,maddi,"{'a': 1, 'd': 2, 'i': 1, 'm': 1}"
511,nafia,"{'a': 2, 'f': 1, 'i': 1, 'n': 1}"
511,sabah,"{'a': 2, 'b': 1, 'h': 1, 's': 1}"
512,acube,"{'a': 1, 'b': 1, 'c': 1, 'e': 1, 'u': 1}"
512,araka,"{'a': 3, 'k': 1, 'r': 1}"
512,asabi,"{'a': 2, 'b': 1, 'i': 1, 's': 1}"
512,baraj,"{'a': 2, 'b': 1, 'j': 1, 'r': 1}"
512,dalan,"{'a': 2, 'd': 1, 'l': 1, 'n': 1}"
512,debil,"{'b': 1, 'd': 1, 'e': 1, 'i': 1, 'l': 1}"
512,ebleh,"{'b': 1, 'e': 2, 'h': 1, 'l': 1}"
512,felah,"{'a': 1, 'e': 1, 'f': 1, 'h': 1, 'l': 1}"
512,halef,"{'a': 1, 'e': 1, 'f': 1, 'h': 1, 'l': 1}"
512,hande,"{'a': 1, 'd': 1, 'e': 1, 'h': 1, 'n': 1}"
512,idame,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'm': 1}"
512,madam,"{'a': 2, 'd': 1, 'm': 2}"
512,manca,"{'a': 2, 'c': 1, 'm': 1, 'n': 1}"
512,radde,"{'a': 1, 'd': 2, 'e': 1, 'r': 1}"
513,agraf,"{'a': 2, 'f': 1, 'g': 1, 'r': 1}"
513,ahlak,"{'a': 2, 'h': 1, 'k': 1, 'l': 1}"
513,anide,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'n': 1}"
513,badya,"{'a': 2, 'b': 1, 'd': 1, 'y': 1}"
513,barak,"{'a': 2, 'b': 1, 'k': 1, 'r': 1}"
513,barka,"{'a': 2, 'b': 1, 'k': 1, 'r': 1}"
513,benci,"{'b': 1, 'c': 1, 'e': 1, 'i': 1, 'n': 1}"
513,bolca,"{'a': 1, 'b': 1, 'c': 1, 'l': 1, 'o': 1}"
513,bomba,"{'a': 1, 'b': 2, 'm': 1, 'o': 1}"
513,cahil,"{'a': 1, 'c': 1, 'h': 1, 'i': 1, 'l': 1}"
513,canan,"{'a': 2, 'c': 1, 'n': 2}"
513,cebin,"{'b': 1, 'c': 1, 'e': 1, 'i': 1, 'n': 1}"
513,celal,"{'a': 1, 'c': 1, 'e': 1, 'l': 2}"
513,dilce,"{'c': 1, 'd': 1, 'e': 1, 'i': 1, 'l': 1}"
513,ebeli,"{'b': 1, 'e': 2, 'i': 1, 'l': 1}"
513,ecdat,"{'a': 1, 'c': 1, 'd': 1, 'e': 1, 't': 1}"
513,flama,"{'a': 2, 'f': 1, 'l': 1, 'm': 1}"
513,gabin,"{'a': 1, 'b': 1, 'g': 1, 'i': 1, 'n': 1}"
513,halka,"{'a': 2, 'h': 1, 'k': 1, 'l': 1}"
513,icbar,"{'a': 1, 'b': 1, 'c': 1, 'i': 1, 'r': 1}"
513,kamga,"{'a': 2, 'g': 1, 'k': 1, 'm': 1}"
513,kifaf,"{'a': 1, 'f': 2, 'i': 1, 'k': 1}"
513,mahfe,"{'a': 1, 'e': 1, 'f': 1, 'h': 1, 'm': 1}"
513,manda,"{'a': 2, 'd': 1, 'm': 1, 'n': 1}"
514,adese,"{'a': 1, 'd': 1, 'e': 2, 's': 1}"
514,ahkam,"{'a': 2, 'h': 1, 'k': 1, 'm': 1}"
514,ahmak,"{'a': 2, 'h': 1, 'k': 1, 'm': 1}"
514,allah,"{'a': 2, 'h': 1, 'l': 2}"
514,arama,"{'a': 3, 'm': 1, 'r': 1}"
514,balar,"{'a': 2, 'b': 1, 'l': 1, 'r': 1}"
514,baldo,"{'a': 1, 'b': 1, 'd': 1, 'l': 1, 'o': 1}"
514,basak,"{'a': 2, 'b': 1, 'k': 1, 's': 1}"
514,bicik,"{'b': 1, 'c': 1, 'i': 2, 'k': 1}"
514,bidar,"{'a': 1, 'b': 1, 'd': 1, 'i': 1, 'r': 1}"
514,cemal,"{'a': 1, 'c': 1, 'e': 1, 'l': 1, 'm': 1}"
514,dahil,"{'a': 1, 'd': 1, 'h': 1, 'i': 1, 'l': 1}"
514,defne,"{'d': 1, 'e': 2, 'f': 1, 'n': 1}"
514,demci,"{'c': 1, 'd': 1, 'e': 1, 'i': 1, 'm': 1}"
514,falan,"{'a': 2, 'f': 1, 'l': 1, 'n': 1}"
514,ferda,"{'a': 1, 'd': 1, 'e': 1, 'f': 1, 'r': 1}"
514,fidan,"{'a': 1, 'd': 1, 'f': 1, 'i': 1, 'n': 1}"
514,gaile,"{'a': 1, 'e': 1, 'g': 1, 'i': 1, 'l': 1}"
514,gedme,"{'d': 1, 'e': 2, 'g': 1, 'm': 1}"
514,haber,"{'a': 1, 'b': 1, 'e': 1, 'h': 1, 'r': 1}"
514,hacim,"{'a': 1, 'c': 1, 'h': 1, 'i': 1, 'm': 1}"
514,hamak,"{'a': 2, 'h': 1, 'k': 1, 'm': 1}"
514,harbe,"{'a': 1, 'b': 1, 'e': 1, 'h': 1, 'r': 1}"
514,kadem,"{'a': 1, 'd': 1, 'e': 1, 'k': 1, 'm': 1}"
514,mecal,"{'a': 1, 'c': 1, 'e': 1, 'l': 1, 'm': 1}"
514,memba,"{'a': 1, 'b': 1, 'e': 1, 'm': 2}"
514,nadan,"{'a': 2, 'd': 1, 'n': 2}"
514,nefha,"{'a': 1, 'e': 1, 'f': 1, 'h': 1, 'n': 1}"
515,aidat,"{'a': 2, 'd': 1, 'i': 1, 't': 1}"
515,ambar,"{'a': 2, 'b': 1, 'm': 1, 'r': 1}"
515,anane,"{'a': 2, 'e': 1, 'n': 2}"
515,ardak,"{'a': 2, 'd': 1, 'k': 1, 'r': 1}"
515,arefe,"{'a': 1, 'e': 2, 'f': 1, 'r': 1}"
515,baget,"{'a': 1, 'b': 1, 'e': 1, 'g': 1, 't': 1}"
515,batak,"{'a': 2, 'b': 1, 'k': 1, 't': 1}"
515,becet,"{'b': 1, 'c': 1, 'e': 2, 't': 1}"
515,belek,"{'b': 1, 'e': 2, 'k': 1, 'l': 1}"
515,belgi,"{'b': 1, 'e': 1, 'g': 1, 'i': 1, 'l': 1}"
515,bilge,"{'b': 1, 'e': 1, 'g': 1, 'i': 1, 'l': 1}"
515,cedre,"{'c': 1, 'd': 1, 'e': 2, 'r': 1}"
515,cicik,"{'c': 2, 'i': 2, 'k': 1}"
515,cidar,"{'a': 1, 'c': 1, 'd': 1, 'i': 1, 'r': 1}"
515,cihan,"{'a': 1, 'c': 1, 'h': 1, 'i': 1, 'n': 1}"
515,dekan,"{'a': 1, 'd': 1, 'e': 1, 'k': 1, 'n': 1}"
515,denge,"{'d': 1, 'e': 2, 'g': 1, 'n': 1}"
515,dince,"{'c': 1, 'd': 1, 'e': 1, 'i': 1, 'n': 1}"
515,ebcet,"{'b': 1, 'c': 1, 'e': 2, 't': 1}"
515,eflak,"{'a': 1, 'e': 1, 'f': 1, 'k': 1, 'l': 1}"
515,fakih,"{'a': 1, 'f': 1, 'h': 1, 'i': 1, 'k': 1}"
515,gafil,"{'a': 1, 'f': 1, 'g': 1, 'i': 1, 'l': 1}"
515,hadim,"{'a': 1, 'd': 1, 'h': 1, 'i': 1, 'm': 1}"
515,haile,"{'a': 1, 'e': 1, 'h': 1, 'i': 1, 'l': 1}"
515,hakan,"{'a': 2, 'h': 1, 'k': 1, 'n': 1}"
515,hamal,"{'a': 2, 'h': 1, 'l': 1, 'm': 1}"
515,hamla,"{'a': 2, 'h': 1, 'l': 1, 'm': 1}"
515,ibare,"{'a': 1, 'b': 1, 'e': 1, 'i': 1, 'r': 1}"
515,ihale,"{'a': 1, 'e': 1, 'h': 1, 'i': 1, 'l': 1}"
515,ikbal,"{'a': 1, 'b': 1, 'i': 1, 'k': 1, 'l': 1}"
515,ilahe,"{'a': 1, 'e': 1, 'h': 1, 'i': 1, 'l': 1}"
515,imece,"{'c': 1, 'e': 2, 'i': 1, 'm': 1}"
515,kabil,"{'a': 1, 'b': 1, 'i': 1, 'k': 1, 'l': 1}"
515,kadar,"{'a': 2, 'd': 1, 'k': 1, 'r': 1}"
515,kalbi,"{'a': 1, 'b': 1, 'i': 1, 'k': 1, 'l': 1}"
515,kebap,"{'a': 1, 'b': 1, 'e': 1, 'k': 1, 'p': 1}"
515,kefal,"{'a': 1, 'e': 1, 'f': 1, 'k': 1, 'l': 1}"
515,magma,"{'a': 2, 'g': 1, 'm': 2}"
515,mahal,"{'a': 2, 'h': 1, 'l': 1, 'm': 1}"
515,nahak,"{'a': 2, 'h': 1, 'k': 1, 'n': 1}"
515,safha,"{'a': 2, 'f': 1, 'h': 1, 's': 1}"
515,sahaf,"{'a': 2, 'f': 1, 'h': 1, 's': 1}"
515,tabak,"{'a': 2, 'b': 1, 'k': 1, 't': 1}"
516,ahfat,"{'a': 2, 'f': 1, 'h': 1, 't': 1}"
516,amele,"{'a': 1, 'e': 2, 'l': 1, 'm': 1}"
516,atama,"{'a': 3, 'm': 1, 't': 1}"
516,balat,"{'a': 2, 'b': 1, 'l': 1, 't': 1}"
516,balta,"{'a': 2, 'b': 1, 'l': 1, 't': 1}"
516,bando,"{'a': 1, 'b': 1, 'd': 1, 'n': 1, 'o': 1}"
516,baran,"{'a': 2, 'b': 1, 'n': 1, 'r': 1}"
516,basma,"{'a': 2, 'b': 1, 'm': 1, 's': 1}"
516,biber,"{'b': 2, 'e': 1, 'i': 1, 'r': 1}"
516,bidat,"{'a': 1, 'b': 1, 'd': 1, 'i': 1, 't': 1}"
516,ceman,"{'a': 1, 'c': 1, 'e': 1, 'm': 1, 'n': 1}"
516,cinai,"{'a': 1, 'c': 1, 'i': 2, 'n': 1}"
516,daimi,"{'a': 1, 'd': 1, 'i': 2, 'm': 1}"
516,dakik,"{'a': 1, 'd': 1, 'i': 1, 'k': 2}"
516,didar,"{'a': 1, 'd': 2, 'i': 1, 'r': 1}"
516,encam,"{'a': 1, 'c': 1, 'e': 1, 'm': 1, 'n': 1}"
516,gabya,"{'a': 2, 'b': 1, 'g': 1, 'y': 1}"
516,gedik,"{'d': 1, 'e': 1, 'g': 1, 'i': 1, 'k': 1}"
516,habip,"{'a': 1, 'b': 1, 'h': 1, 'i': 1, 'p': 1}"
516,hafta,"{'a': 2, 'f': 1, 'h': 1, 't': 1}"
516,hamam,"{'a': 2, 'h': 1, 'm': 2}"
516,hilaf,"{'a': 1, 'f': 1, 'h': 1, 'i': 1, 'l': 1}"
516,iflah,"{'a': 1, 'f': 1, 'h': 1, 'i': 1, 'l': 1}"
516,kalak,"{'a': 2, 'k': 2, 'l': 1}"
516,laden,"{'a': 1, 'd': 1, 'e': 1, 'l': 1, 'n': 1}"
516,madem,"{'a': 1, 'd': 1, 'e': 1, 'm': 2}"
516,manga,"{'a': 2, 'g': 1, 'm': 1, 'n': 1}"
516,panda,"{'a': 2, 'd': 1, 'n': 1, 'p': 1}"
516,sadak,"{'a': 2, 'd': 1, 'k': 1, 's': 1}"
516,samba,"{'a': 2, 'b': 1, 'm': 1, 's': 1}"
516,secde,"{'c': 1, 'd': 1, 'e': 2, 's': 1}"
516,tabla,"{'a': 2, 'b': 1, 'l': 1, 't': 1}"
517,abone,"{'a': 1, 'b': 1, 'e': 1, 'n': 1, 'o': 1}"
517,adsal,"{'a': 2, 'd': 1, 'l': 1, 's': 1}"
517,afili,"{'a': 1, 'f': 1, 'i': 2, 'l': 1}"
517,akmak,"{'a': 2, 'k': 2, 'm': 1}"
517,anele,"{'a': 1, 'e': 2, 'l': 1, 'n': 1}"
517,azade,"{'a': 2, 'd': 1, 'e': 1, 'z': 1}"
517,batma,"{'a': 2, 'b': 1, 'm': 1, 't': 1}"
517,bekar,"{'a': 1, 'b': 1, 'e': 1, 'k': 1, 'r': 1}"
517,benek,"{'b': 1, 'e': 2, 'k': 1, 'n': 1}"
517,bengi,"{'b': 1, 'e': 1, 'g': 1, 'i': 1, 'n': 1}"
517,bombe,"{'b': 2, 'e': 1, 'm': 1, 'o': 1}"
517,cebir,"{'b': 1, 'c': 1, 'e': 1, 'i': 1, 'r': 1}"
517,cebri,"{'b': 1, 'c': 1, 'e': 1, 'i': 1, 'r': 1}"
517,cehil,"{'c': 1, 'e': 1, 'h': 1, 'i': 1, 'l': 1}"
517,cephe,"{'c': 1, 'e': 2, 'h': 1, 'p': 1}"
517,cibin,"{'b': 1, 'c': 1, 'i': 2, 'n': 1}"
517,cibre,"{'b': 1, 'c': 1, 'e': 1, 'i': 1, 'r': 1}"
517,cicim,"{'c': 2, 'i': 2, 'm': 1}"
517,daire,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'r': 1}"
517,damar,"{'a': 2, 'd': 1, 'm': 1, 'r': 1}"
517,delgi,"{'d': 1, 'e': 1, 'g': 1, 'i': 1, 'l': 1}"
517,dilci,"{'c': 1, 'd': 1, 'i': 2, 'l': 1}"
517,drama,"{'a': 2, 'd': 1, 'm': 1, 'r': 1}"
517,ekici,"{'c': 1, 'e': 1, 'i': 2, 'k': 1}"
517,elhak,"{'a': 1, 'e': 1, 'h': 1, 'k': 1, 'l': 1}"
517,emcek,"{'c': 1, 'e': 2, 'k': 1, 'm': 1}"
517,endam,"{'a': 1, 'd': 1, 'e': 1, 'm': 1, 'n': 1}"
517,fayda,"{'a': 2, 'd': 1, 'f': 1, 'y': 1}"
517,fenci,"{'c': 1, 'e': 1, 'f': 1, 'i': 1, 'n': 1}"
517,figan,"{'a': 1, 'f': 1, 'g': 1, 'i': 1, 'n': 1}"
517,garaj,"{'a': 2, 'g': 1, 'j': 1, 'r': 1}"
517,gebre,"{'b': 1, 'e': 2, 'g': 1, 'r': 1}"
517,hacet,"{'a': 1, 'c': 1, 'e': 1, 'h': 1, 't': 1}"
517,hedik,"{'d': 1, 'e': 1, 'h': 1, 'i': 1, 'k': 1}"
517,helak,"{'a': 1, 'e': 1, 'h': 1, 'k': 1, 'l': 1}"
517,hicap,"{'a': 1, 'c': 1, 'h': 1, 'i': 1, 'p': 1}"
517,ibate,"{'a': 1, 'b': 1, 'e': 1, 'i': 1, 't': 1}"
517,idare,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'r': 1}"
517,ifham,"{'a': 1, 'f': 1, 'h': 1, 'i': 1, 'm': 1}"
517,irade,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 'r': 1}"
517,kabin,"{'a': 1, 'b': 1, 'i': 1, 'k': 1, 'n': 1}"
517,kakma,"{'a': 2, 'k': 2, 'm': 1}"
517,legal,"{'a': 1, 'e': 1, 'g': 1, 'l': 2}"
517,mabat,"{'a': 2, 'b': 1, 'm': 1, 't': 1}"
517,maden,"{'a': 1, 'd': 1, 'e': 1, 'm': 1, 'n': 1}"
517,mahfi,"{'a': 1, 'f': 1, 'h': 1, 'i': 1, 'm': 1}"
517,makak,"{'a': 2, 'k': 2, 'm': 1}"
517,marda,"{'a': 2, 'd': 1, 'm': 1, 'r': 1}"
517,ragbi,"{'a': 1, 'b': 1, 'g': 1, 'i': 1, 'r': 1}"
517,saban,"{'a': 2, 'b': 1, 'n': 1, 's': 1}"
518,abosa,"{'a': 2, 'b': 1, 'o': 1, 's': 1}"
518,almak,"{'a': 2, 'k': 1, 'l': 1, 'm': 1}"
518,aside,"{'a': 1, 'd': 1, 'e': 1, 'i': 1, 's': 1}"
518,bahir,"{'a': 1, 'b': 1, 'h': 1, 'i': 1, 'r': 1}"
518,bahri,"{'a': 1, 'b': 1, 'h': 1, 'i': 1, 'r': 1}"
518,bedir,"{'b': 1, 'd': 1, 'e': 1, 'i': 1, 'r': 1}"
518,beher,"{'b': 1, 'e': 2, 'h': 1, 'r': 1}"
518,behre,"{'b': 1, 'e': 2, 'h': 1, 'r': 1}"
518,bekas,"{'a': 1, 'b': 1, 'e': 1, 'k': 1, 's': 1}"
518,belen,"{'b': 1, 'e': 2, 'l': 1, 'n': 1}"
518,bindi,"{'b': 1, 'd': 1, 'i': 2, 'n': 1}"
518,bucak,"{'a': 1, 'b': 1, 'c': 1, 'k': 1, 'u': 1}"
518,cinci,"{'c': 2, 'i': 2, 'n': 1}"
518,defin,"{'d': 1, 'e': 1, 'f': 1, 'i': 1, 'n': 1}"
518,demek,"{'d': 1, 'e': 2, 'k': 1, 'm': 1}"
518,derbi,"{'b': 1, 'd': 1, 'e': 1, 'i': 1, 'r': 1}"
518,draje,"{'a': 1, 'd': 1, 'e': 1, 'j': 1, 'r': 1}"
518,esbak,"{'a': 1, 'b': 1, 'e': 1, 'k': 1, 's': 1}"
518,faska,"{'a': 2, 'f': 1, 'k': 1, 's': 1}"
518,ferah,"{'a': 1, 'e': 1, 'f': 1, 'h': 1, 'r': 1}"
518,fodla,"{'a': 1, 'd': 1, 'f': 1, 'l': 1, 'o': 1}"
518,gaita,"{'a': 2, 'g': 1, 'i': 1, 't': 1}"
518,gayda,"{'a': 2, 'd': 1, 'g': 1, 'y': 1}"
518,hakem,"{'a': 1, 'e': 1, 'h': 1, 'k': 1, 'm': 1}"
518,halel,"{'a': 1, 'e': 1, 'h': 1, 'l': 2}"
518,harbi,"{'a': 1, 'b': 1, 'h': 1, 'i': 1, 'r': 1}"
518,helal,"{'a': 1, 'e': 1, 'h': 1, 'l': 2}"
518,icmal,"{'a': 1, 'c': 1, 'i': 1, 'l': 1, 'm': 1}"
518,ihbar,"{'a': 1, 'b': 1, 'h': 1, 'i': 1, 'r': 1}"
518,ikdam,"{'a': 1, 'd': 1, 'i': 1, 'k': 1, 'm': 1}"
518,kadim,"{'a': 1, 'd': 1, 'i': 1, 'k': 1, 'm': 1}"
518,kalma,"{'a': 2, 'k': 1, 'l': 1, 'm': 1}"
518,kanka,"{'a': 2, 'k': 2, 'n': 1}"
518,karga,"{'a': 2, 'g': 1, 'k': 1, 'r': 1}"
518,kemha,"{'a': 1, 'e': 1, 'h': 1, 'k': 1, 'm': 1}"
518,lenfa,"{'a': 1, 'e': 1, 'f': 1, 'l': 1, 'n': 1}"
518,madik,"{'a': 1, 'd': 1, 'i': 1, 'k': 1, 'm': 1}"
518,malak,"{'a': 2, 'k': 1, 'l': 1, 'm': 1}"
518,mania,"{'a': 2, 'i': 1, 'm': 1, 'n': 1}"
518,melce,"{'c': 1, 'e': 2, 'l': 1, 'm': 1}"
518,nahif,"{'a': 1, 'f': 1, 'h': 1, 'i': 1, 'n': 1}"
518,pahal,"{'a': 2, 'h': 1, 'l': 1, 'p': 1}"
518,pedal,"{'a': 1, 'd': 1, 'e': 1, 'l': 1, 'p': 1}"
518,randa,"{'a': 2, 'd': 1, 'n': 1, 'r': 1}"
518,refah,"{'a': 1, 'e': 1, 'f': 1, 'h': 1, 'r': 1}"
518,sakaf,"{'a': 2, 'f': 1, 'k': 1, 's': 1}"
518,taban,"{'a': 2, 'b': 1, 'n': 1, 't': 1}"
519,ahenk,"{'a': 1, 'e': 1, 'h': 1, 'k': 1, 'n': 1}"
519,akemi,"{'a': 1, 'e': 1, 'i': 1, 'k': 1, 'm': 1}"
519,aklan,"{'a': 2, 'k': 1, 'l': 1, 'n': 1}"
519,alkan,"{'a': 2, 'k': 1, 'l': 1, 'n': 1}"
519,amber,"{'a': 1, 'b': 1, 'e': 1, 'm': 1, 'r': 1}"
519,anlak,"{'a': 2, 'k': 1, 'l': 1, 'n': 1}"
519,arena,"{'a': 2, 'e': 1, 'n': 1, 'r': 1}"
519,arife,"{'a': 1, 'e': 1, 'f': 1, 'i': 1, 'r': 1}"
